UserId,Reputation,AccountAgeDays,PreAnsCount,CompetenceProxy,StatusProxy,RelCommentRatio,RelEditsOthers,LastAnswerAfter,PostAnsTotal,PostComments,PostEdits
"14530","1130","4822","8","0.375000","0.125000","1.75","1","","0","0","0"
"15209","1635","4822","6","0.166666","0.666666","1","0","2022-09-21 09:45:29","7","4","0"
"18688","1027","4820","5","0.400000","0.000000","0.8","0","","0","0","0"
"21087","1659","4816","7","0.000000","0.571428","1","0","2022-06-30 19:21:37","1","3","0"
"24334","1777","4808","11","0.545454","0.090909","1.6363636363636365","1","2022-06-15 07:38:27","1","10","0"
"27195","1117","4797","5","0.600000","0.400000","0.4","0","2022-05-04 21:33:25","5","2","0"
"30404","1950","4787","9","0.444444","0.333333","3.4444444444444446","1","2022-11-05 15:04:11","1","1","0"
"30530","948","4787","6","0.500000","0.333333","0.3333333333333333","1","","0","0","0"
"30581","1763","4787","9","0.444444","0.111111","0.6666666666666666","0","2022-09-25 23:19:53","9","10","0"
"37205","1529","4765","8","0.875000","0.000000","1.375","0","2022-07-15 14:56:46","1","1","0"
"38281","1989","4761","5","0.400000","0.400000","1","0","","0","1","0"
"49077","1958","4723","5","0.600000","0.400000","0.6","0","","0","1","0"
"49889","857","4719","7","0.714285","0.142857","0","0","2022-08-28 21:52:11","2","1","0"
"54745","977","4704","5","0.400000","0.400000","7.8","3","2022-06-22 20:28:33","1","28","1"
"56984","1244","4697","9","0.000000","1.000000","0.4444444444444444","1","","0","1","0"
"57033","1659","4697","15","0.400000","0.400000","4.266666666666667","1","2022-07-04 14:13:06","4","15","0"
"57344","1241","4696","5","0.000000","0.800000","3.2","0","","0","3","0"
"57864","1645","4695","7","0.857142","0.000000","0.7142857142857143","0","2022-04-13 16:11:32","4","8","0"
"59122","1930","4691","9","0.222222","0.444444","1","0","2022-10-28 14:26:44","4","8","0"
"63696","1708","4679","29","0.517241","0.241379","3.413793103448276","9","2022-10-30 11:47:38","41","129","12"
"64317","846","4677","8","0.375000","0.375000","0.75","0","","0","0","0"
"65560","1665","4674","10","1.000000","0.000000","0.3","0","2022-05-24 18:20:43","3","0","0"
"71053","1483","4661","5","0.600000","0.200000","2","0","2022-07-27 14:20:16","3","1","0"
"73390","1542","4655","5","1.000000","0.000000","1.6","0","","0","1","0"
"80772","1236","4637","5","0.400000","0.600000","1.8","1","2022-10-27 03:59:48","8","17","0"
"83098","1189","4632","6","0.500000","0.166666","1.5","0","2022-11-04 19:05:04","1","2","0"
"94034","927","4606","5","0.200000","0.400000","1.6","0","2022-04-23 23:11:44","1","2","0"
"97946","622","4598","27","0.814814","0.037037","1.1851851851851851","0","","0","0","0"
"99475","1191","4596","6","0.500000","0.166666","0.5","0","","0","0","0"
"100129","1813","4594","7","0.000000","0.571428","0.42857142857142855","7","2022-09-15 21:30:19","2","2","1"
"101874","1094","4592","25","0.560000","0.200000","0.12","0","","0","0","0"
"104325","1314","4587","9","0.555555","0.000000","0.4444444444444444","0","","0","0","0"
"105028","518","4586","5","0.200000","0.600000","2.6","0","2022-04-23 16:35:21","3","7","0"
"107552","1419","4582","6","0.500000","0.333333","2.3333333333333335","0","","0","3","0"
"107976","1041","4582","5","0.600000","0.200000","0.4","0","2022-03-31 12:47:30","3","2","0"
"110737","504","4576","8","0.500000","0.125000","0","0","","0","0","0"
"113186","729","4570","5","0.600000","0.200000","2.2","2","2022-09-27 17:06:14","2","3","1"
"113825","1386","4569","14","0.000000","0.285714","0.8571428571428571","0","2022-03-23 10:30:52","1","0","0"
"123498","1121","4550","27","0.407407","0.444444","1.8888888888888888","0","","0","1","0"
"124641","1410","4549","5","0.400000","0.200000","0.8","0","2022-04-28 19:53:53","2","2","0"
